[Wed Mar 25 19:39:52.870741 2026] [php:error] [pid 2636074] [client 10.30.8.22:43732] PHP Fatal error:  Cannot redeclare Controller\\Site::adminPanel() in /srv/users/piuxhnsp/mpsvaba-m4/app/Controller/Site.php on line 107, referer: http://mpsvaba-m4.wsr.ru/
[Wed Mar 25 20:35:46.710143 2026] [php:warn] [pid 2681781] [client 10.30.8.22:35450] PHP Warning:  Attempt to read property "last_name" on null in /srv/users/piuxhnsp/mpsvaba-m4/views/site/edit_subscriber.php on line 1
[Wed Mar 25 20:35:46.710219 2026] [php:warn] [pid 2681781] [client 10.30.8.22:35450] PHP Warning:  Attempt to read property "subscribers_id" on null in /srv/users/piuxhnsp/mpsvaba-m4/views/site/edit_subscriber.php on line 3
[Wed Mar 25 20:35:46.710224 2026] [php:warn] [pid 2681781] [client 10.30.8.22:35450] PHP Warning:  Attempt to read property "last_name" on null in /srv/users/piuxhnsp/mpsvaba-m4/views/site/edit_subscriber.php on line 4
[Wed Mar 25 20:35:46.710228 2026] [php:warn] [pid 2681781] [client 10.30.8.22:35450] PHP Warning:  Attempt to read property "first_name" on null in /srv/users/piuxhnsp/mpsvaba-m4/views/site/edit_subscriber.php on line 5
[Wed Mar 25 20:35:46.710232 2026] [php:warn] [pid 2681781] [client 10.30.8.22:35450] PHP Warning:  Attempt to read property "middle_name" on null in /srv/users/piuxhnsp/mpsvaba-m4/views/site/edit_subscriber.php on line 6
[Wed Mar 25 20:35:46.710236 2026] [php:warn] [pid 2681781] [client 10.30.8.22:35450] PHP Warning:  Attempt to read property "birth_date" on null in /srv/users/piuxhnsp/mpsvaba-m4/views/site/edit_subscriber.php on line 7
[Wed Mar 25 20:35:46.710239 2026] [php:warn] [pid 2681781] [client 10.30.8.22:35450] PHP Warning:  Attempt to read property "rooms_id" on null in /srv/users/piuxhnsp/mpsvaba-m4/views/site/edit_subscriber.php on line 8
[Wed Mar 25 20:35:46.710243 2026] [php:warn] [pid 2681781] [client 10.30.8.22:35450] PHP Warning:  Attempt to read property "phones" on null in /srv/users/piuxhnsp/mpsvaba-m4/views/site/edit_subscriber.php on line 9
[Wed Mar 25 20:37:54.742181 2026] [php:warn] [pid 2683001] [client 10.30.8.22:40584] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/subscriber/create
[Wed Mar 25 20:37:57.414957 2026] [php:warn] [pid 2683001] [client 10.30.8.22:40584] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/
[Wed Mar 25 20:37:58.223358 2026] [php:warn] [pid 2683001] [client 10.30.8.22:40584] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/
[Wed Mar 25 20:38:03.451515 2026] [php:warn] [pid 2683001] [client 10.30.8.22:40584] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/
[Wed Mar 25 20:38:04.378335 2026] [php:warn] [pid 2683001] [client 10.30.8.22:40584] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/
[Wed Mar 25 20:38:14.440477 2026] [php:warn] [pid 2684174] [client 10.30.8.22:39106] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/subscriber/edit?id=1
[Wed Mar 25 20:38:39.503054 2026] [php:warn] [pid 2684176] [client 10.30.8.22:55516] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/?search=%2B7%28666%29
[Wed Mar 25 20:38:48.053899 2026] [php:warn] [pid 2684177] [client 10.30.8.22:50184] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/
[Wed Mar 25 20:39:55.756488 2026] [php:warn] [pid 2684246] [client 10.30.8.22:50654] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/
[Wed Mar 25 20:39:56.562013 2026] [php:warn] [pid 2684246] [client 10.30.8.22:50654] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/
[Wed Mar 25 20:42:36.055752 2026] [php:warn] [pid 2686628] [client 10.30.8.22:58714] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/login
[Wed Mar 25 20:42:42.131467 2026] [php:warn] [pid 2686628] [client 10.30.8.22:58714] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/hello
[Wed Mar 25 20:42:52.032114 2026] [php:warn] [pid 2686628] [client 10.30.8.22:58714] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/hello
[Wed Mar 25 20:43:11.175903 2026] [php:warn] [pid 2686670] [client 10.30.8.22:57690] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/login
[Wed Mar 25 20:43:16.673441 2026] [php:warn] [pid 2686670] [client 10.30.8.22:57690] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/login
[Wed Mar 25 20:46:03.208957 2026] [php:warn] [pid 2690843] [client 10.30.8.22:54446] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/subscriber/create
[Wed Mar 25 20:46:37.183486 2026] [php:warn] [pid 2692020] [client 10.30.8.22:54838] PHP Warning:  Undefined array key "search" in /srv/users/piuxhnsp/mpsvaba-m4/core/Src/Request.php on line 32, referer: http://mpsvaba-m4.wsr.ru/subscriber/edit?id=1
